artist_name,chart_market,genre,total_tracks_charted,genre_diversity,avg_track_price,earliest_release,latest_release,new_release_count,catalogue_count,last_seen_at
Evanescence,us,Rock,2,1,1.29,2025-03-28,2026-04-10,1,1,2026-04-10 08:36:01.910
Taylor Swift,gb,Pop,2,1,0.79,2025-10-03,2025-10-03,0,0,2026-04-10 08:36:01.910
Blue,gb,Pop,1,1,0.99,,,0,1,2026-04-10 08:36:01.910
Peter Andre,gb,Pop,1,1,0.99,,,0,1,2026-04-10 08:36:01.910
Bradley Jago,gb,Adult Contemporary,1,1,0.99,,,0,1,2026-04-10 08:36:01.910
Cameron Whitcomb,us,Country,1,1,1.29,2026-03-27,2026-03-27,1,0,2026-04-10 08:36:01.910
Olivia Dean,us,Pop,2,1,1.29,2025-09-26,2025-09-26,0,0,2026-04-10 08:36:01.910
Teddy Swims,us,Pop,1,1,1.29,2026-04-09,2026-04-09,1,0,2026-04-10 08:36:01.910
Melanie C,us,Pop,1,1,0.99,,,0,1,2026-04-10 08:36:01.910
The Second Voice,gb,Dance,1,1,0.99,2026-01-25,2026-01-25,0,0,2026-04-10 08:36:01.910
Dave & Tems,gb,Hip-Hop/Rap,1,1,0.59,2025-10-24,2025-10-24,0,0,2026-04-10 08:36:01.910
Luke Combs,us,Country,2,1,1.29,2025-10-02,2026-03-20,1,0,2026-04-10 08:36:01.910
Miley Cyrus,gb,Pop,1,1,0.99,2026-03-27,2026-03-27,1,0,2026-04-10 08:36:01.910
Myles Smith,gb,Singer/Songwriter,1,1,0.99,,,0,1,2026-04-10 08:36:01.910
Brandon Lake & Lainey Wilson,us,Christian,1,1,1.29,2026-04-03,2026-04-03,1,0,2026-04-10 08:36:01.910
The Goo Goo Dolls,us,Rock,1,1,1.29,1998-03-31,1998-03-31,0,1,2026-04-10 08:36:01.910
Milky,gb,Dance,1,1,0.59,2002-01-01,2002-01-01,0,1,2026-04-10 08:36:01.910
Alex Warren,us,Pop,1,1,0.69,2024-09-26,2024-09-26,0,1,2026-04-10 08:36:01.910
Josh Groban,us,Pop,1,1,1.29,2026-04-10,2026-04-10,1,0,2026-04-10 08:36:01.910
sombr,gb,Pop,2,2,0.79,2025-07-24,2026-02-05,0,0,2026-04-10 08:36:01.910
Peter Frampton,us,Rock,1,1,1.29,,,0,1,2026-04-10 08:36:01.910
Young the Giant,us,Alternative,1,1,1.29,,,0,1,2026-04-10 08:36:01.910
Bebe Rexha & Faithless,gb,Dance,1,1,0.59,2026-03-06,2026-03-06,0,0,2026-04-10 08:36:01.910
Alex Warren,gb,Pop,1,1,0.99,2026-03-13,2026-03-13,1,0,2026-04-10 08:36:01.910
Djo,gb,Alternative,1,1,0.59,2024-03-01,2024-03-01,0,1,2026-04-10 08:36:01.910
The Strokes,gb,Alternative,1,1,0.99,2026-04-07,2026-04-07,1,0,2026-04-10 08:36:01.910
SIENNA SPIRO,gb,Pop,2,1,0.99,2025-10-10,2026-03-13,1,0,2026-04-10 08:36:01.910
Dexter and The Moonrocks,us,Rock,1,1,1.29,2026-03-11,2026-03-11,1,0,2026-04-10 08:36:01.910
Harry Styles,us,Pop,1,1,1.29,2017-04-07,2017-04-07,0,1,2026-04-10 08:36:01.910
Ella Langley,us,Country,6,1,1.29,2025-10-17,2026-04-10,3,0,2026-04-10 08:36:01.910
Dogstar,us,Alternative,1,1,1.29,,,0,1,2026-04-10 08:36:01.910
Ella Langley & Riley Green,us,Country,1,1,1.29,2024-06-21,2024-06-21,0,1,2026-04-10 08:36:01.910
Social Distortion,us,Rock,1,1,1.29,,,0,1,2026-04-10 08:36:01.910
Brooke Combe,gb,Soul,1,1,0.99,2026-04-08,2026-04-08,1,0,2026-04-10 08:36:01.910
Atreyu & Soulfly,us,Metal,1,1,1.29,,,0,1,2026-04-10 08:36:01.910
Bruno Mars,us,Pop,2,1,0.69,2026-01-09,2026-02-27,0,0,2026-04-10 08:36:01.910
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",us,K-Pop,1,1,1.29,2025-06-19,2025-06-19,0,0,2026-04-10 08:36:01.910
Evanescence,gb,Rock,2,1,0.99,,2025-03-28,0,2,2026-04-10 08:36:01.910
RAYE,gb,Pop,1,1,0.99,2026-03-27,2026-03-27,1,0,2026-04-10 08:36:01.910
Paul McCartney,gb,Rock,1,1,0.99,,,0,1,2026-04-10 08:36:01.910
Ragal Ironbull,us,Folk,1,1,0.99,2026-04-03,2026-04-03,1,0,2026-04-10 08:36:01.910
Blake Shelton,us,Country,1,1,1.29,2025-03-14,2025-03-14,0,1,2026-04-10 08:36:01.910
BTS,us,Pop,8,1,0.69,2026-03-20,2026-04-09,8,0,2026-04-10 08:36:01.910
Rick Astley,gb,Pop,1,1,0.99,,,0,1,2026-04-10 08:36:01.910
IngaRose,us,Blues,3,1,0.9899999999999999,2026-03-27,2026-04-01,3,0,2026-04-10 08:36:01.910
Kylie Morgan,gb,Country,1,1,0.99,,,0,1,2026-04-10 08:36:01.910
Harry Styles,gb,Pop,3,1,0.9899999999999999,2017-04-07,2026-03-06,0,1,2026-04-10 08:36:01.910
Eddie Dalton,us,Blues,5,1,0.99,2026-03-14,2026-04-01,5,0,2026-04-10 08:36:01.910
RAYE,us,Pop,1,1,0.99,2025-09-19,2025-09-19,0,0,2026-04-10 08:36:01.910
Foo Fighters,us,Rock,1,1,1.29,,,0,1,2026-04-10 08:36:01.910
Billy Ray Cyrus & Noah Cyrus,gb,Country,1,1,0.99,2026-04-03,2026-04-03,1,0,2026-04-10 08:36:01.910
